file_size,total_time_taken,average_time_taken
487,0.080212,0.0001647063655030801
488,0.064975,0.0001331454918032787
489,0.05502,0.00011251533742331289
490,0.043556,8.888979591836734e-05
491,0.051674,0.00010524236252545824
492,0.047689,9.692886178861789e-05
493,0.039176,7.946450304259636e-05
494,0.041653,8.431781376518219e-05
495,0.062881,0.00012703232323232324
496,0.065948,0.00013295967741935486
497,0.052886,0.00010641046277665996
498,0.062524,0.00012555020080321283
499,0.049803,9.980561122244489e-05
500,0.068394,0.000136788
501,0.056868,0.00011350898203592815
502,0.06278,0.0001250597609561753
503,0.05894,0.00011717693836978131
504,0.061746,0.00012251190476190475
505,0.055758,0.00011041188118811882
506,0.056872,0.00011239525691699604
507,0.059913,0.0001181715976331361
508,0.070166,0.0001381220472440945
509,0.047834,9.397642436149313e-05
510,0.042533,8.339803921568627e-05
511,0.044469,8.702348336594912e-05
512,0.04145,8.095703125e-05
513,0.0437,8.518518518518518e-05
514,0.050226,9.7715953307393e-05
515,0.046697,9.0673786407767e-05
516,0.058615,0.00011359496124031008
517,0.042502,8.220889748549323e-05
518,0.048699,9.401351351351351e-05
519,0.068727,0.00013242196531791908
520,0.073047,0.000140475
521,0.076091,0.00014604798464491365
522,0.062181,0.00011912068965517242
523,0.050719,9.697705544933079e-05
524,0.070872,0.00013525190839694658
525,0.052582,0.00010015619047619047
526,0.055812,0.000106106463878327
527,0.047144,8.94573055028463e-05
528,0.052607,9.96344696969697e-05
529,0.045647,8.628922495274102e-05
530,0.045666,8.61622641509434e-05
531,0.044282,8.339359698681733e-05
532,0.044484,8.361654135338346e-05
533,0.04308,8.082551594746716e-05
534,0.041294,7.732958801498127e-05
535,0.045717,8.545233644859813e-05
536,0.059733,0.00011144216417910448
537,0.054869,0.00010217690875232775
538,0.043208,8.031226765799257e-05
539,0.056693,0.00010518181818181818
540,0.055679,0.00010310925925925926
541,0.050239,9.286321626617375e-05
542,0.059927,0.00011056642066420665
543,0.057477,0.00010585082872928177
544,0.053607,9.854227941176471e-05
545,0.052688,9.667522935779817e-05
546,0.067028,0.00012276190476190476
547,0.070137,0.00012822120658135283
548,0.067142,0.00012252189781021897
549,0.049826,9.075774134790529e-05
550,0.057767,0.0001050309090909091
551,0.054767,9.93956442831216e-05
552,0.058887,0.00010667934782608696
553,0.050504,9.132730560578662e-05
554,0.047469,8.56841155234657e-05
555,0.06169,0.00011115315315315316
556,0.046616,8.384172661870504e-05
557,0.049679,8.91903052064632e-05
558,0.055907,0.00010019175627240144
559,0.063863,0.00011424508050089446
560,0.05574,9.953571428571428e-05
561,0.051654,9.207486631016042e-05
562,0.051661,9.192348754448399e-05
563,0.067855,0.00012052397868561279
564,0.054919,9.737411347517731e-05
565,0.057896,0.000102470796460177
566,0.055754,9.850530035335688e-05
567,0.045722,8.06384479717813e-05
568,0.05363,9.441901408450703e-05
569,0.050589,8.890861159929701e-05
570,0.044475,7.802631578947369e-05
571,0.060735,0.00010636602451838879
572,0.059799,0.00010454370629370629
573,0.050329,8.783420593368236e-05
574,0.045893,7.995296167247387e-05
575,0.049693,8.642260869565217e-05
576,0.069192,0.000120125
577,0.05509,9.547660311958405e-05
578,0.044679,7.729930795847752e-05
579,0.05382,9.295336787564767e-05
580,0.058075,0.00010012931034482758
581,0.05805,9.991394148020653e-05
582,0.053858,9.253951890034365e-05
583,0.051817,8.887993138936536e-05
584,0.067309,0.00011525513698630136
585,0.055668,9.515897435897436e-05
586,0.04392,7.494880546075086e-05
587,0.050865,8.665247018739353e-05
588,0.053422,9.085374149659864e-05
589,0.065371,0.00011098641765704584
590,0.060995,0.0001033813559322034
591,0.067169,0.00011365313028764807
592,0.071954,0.00012154391891891893
593,0.061046,0.00010294435075885329
594,0.062053,0.00010446632996632996
595,0.061123,0.00010272773109243696
596,0.048897,8.204194630872483e-05
597,0.054903,9.196482412060302e-05
598,0.047598,7.959531772575251e-05
599,0.043826,7.316527545909849e-05
600,0.069052,0.00011508666666666667
601,0.050971,8.481031613976706e-05
602,0.054036,8.976079734219269e-05
603,0.051841,8.597180762852404e-05
604,0.062164,0.0001029205298013245
605,0.054886,9.072066115702478e-05
606,0.065205,0.0001075990099009901
607,0.056895,9.373146622734761e-05
608,0.052096,8.56842105263158e-05
609,0.072281,0.000118688013136289
610,0.097403,0.00015967704918032788
611,0.065234,0.00010676595744680851
612,0.077306,0.00012631699346405228
613,0.063923,0.00010427895595432299
614,0.066043,0.00010756188925081434
615,0.063952,0.0001039869918699187
616,0.054724,8.883766233766234e-05
617,0.050888,8.247649918962723e-05
618,0.055929,9.05e-05
619,0.05608,9.059773828756058e-05
620,0.045778,7.383548387096774e-05
621,0.058024,9.343639291465378e-05
622,0.055048,8.85016077170418e-05
623,0.070184,0.00011265489566613162
624,0.050938,8.163141025641026e-05
625,0.080308,0.00012849280000000002
626,0.071257,0.00011382907348242812
627,0.052768,8.415948963317384e-05
628,0.049824,7.933757961783439e-05
629,0.063248,0.00010055325914149443
630,0.06996,0.00011104761904761904
631,0.065739,0.00010418225039619652
632,0.059896,9.477215189873417e-05
633,0.052162,8.24044233807267e-05
634,0.06596,0.00010403785488958991
635,0.066319,0.00010443937007874016
636,0.054525,8.573113207547169e-05
637,0.049765,7.812401883830455e-05
638,0.04999,7.835423197492163e-05
639,0.042669,6.677464788732394e-05
640,0.05966,9.321875e-05
641,0.075674,0.00011805616224648987
642,0.074318,0.0001157601246105919
643,0.053653,8.344167962674962e-05
644,0.063855,9.915372670807453e-05
645,0.060084,9.315348837209302e-05
646,0.055929,8.657739938080495e-05
647,0.043563,6.73307573415765e-05
648,0.045912,7.085185185185185e-05
649,0.051825,7.985362095531588e-05
650,0.095545,0.0001469923076923077
651,0.065052,9.992626728110599e-05
652,0.076286,0.00011700306748466258
653,0.061138,9.362633996937213e-05
654,0.048853,7.469877675840979e-05
655,0.062969,9.613587786259542e-05
656,0.0723,0.00011021341463414635
657,0.089032,0.00013551293759512937
658,0.058007,8.81565349544073e-05
659,0.072226,0.00010959939301972686
660,0.075088,0.00011376969696969698
661,0.070177,0.00010616792738275341
662,0.079394,0.00011993051359516618
663,0.066203,9.985369532428355e-05
664,0.074253,0.00011182680722891567
665,0.060996,9.172330827067669e-05
666,0.047984,7.204804804804804e-05
667,0.04468,6.698650674662669e-05
668,0.046846,7.012874251497006e-05
669,0.044691,6.680269058295965e-05
670,0.051886,7.744179104477612e-05
671,0.075948,0.00011318628912071535
672,0.075344,0.00011211904761904761
673,0.075466,0.00011213372956909362
674,0.07235,0.00010734421364985163
675,0.055719,8.254666666666666e-05
676,0.047896,7.085207100591716e-05
677,0.047934,7.080354505169867e-05
